"rsq","mu","sampling"
0.9989815607422691,96.93907601972526,"Beta-Binomial rho = 0.01"
0.9957220423905211,74.92989741519762,"Beta-Binomial rho = 0.05"
0.9896374848382771,57.48320263059437,"Beta-Binomial rho = 0.1"
0.9935558668855241,84.57711889230615,"Binomial"
0.9939237521626938,83.91903037678358,"Beta-Binomial rho = 0.01"
0.9968122692503413,61.57880743487709,"Beta-Binomial rho = 0.05"
0.9925347160066279,52.10795006402785,"Beta-Binomial rho = 0.1"
0.9978894513921286,98.65169403161548,"Binomial"
0.996716689621494,91.70566477279978,"Beta-Binomial rho = 0.01"
0.9948950685659765,64.83282643295634,"Beta-Binomial rho = 0.05"
0.9868427536547641,54.79045514501962,"Beta-Binomial rho = 0.1"
0.9985155059011467,146.2580398305164,"Binomial"
0.9949419151012087,138.98111602119766,"Beta-Binomial rho = 0.01"
0.9925493868848129,113.28247968203368,"Beta-Binomial rho = 0.05"
0.9909003653530196,82.63257869271591,"Beta-Binomial rho = 0.1"
0.9812390816074582,107.52437358317742,"Binomial"
0.9707485886248396,111.37400615168906,"Beta-Binomial rho = 0.01"
0.9892569493235275,76.90572460815787,"Beta-Binomial rho = 0.05"
0.9901834917962794,64.91349331130778,"Beta-Binomial rho = 0.1"
0.9870929921260941,125.03442869586911,"Binomial"
0.9839770920078051,117.26729892422703,"Beta-Binomial rho = 0.01"
0.98985979206816,85.66855258063521,"Beta-Binomial rho = 0.05"
0.9916754255851182,64.42027325746807,"Beta-Binomial rho = 0.1"
0.991804008132334,103.99522065511616,"Binomial"
0.998233406532265,99.99922760523287,"Beta-Binomial rho = 0.01"
0.9978629838952235,73.28487691876695,"Beta-Binomial rho = 0.05"
0.981659821779181,59.877902996554944,"Beta-Binomial rho = 0.1"
0.9875414833773568,107.27862391319461,"Binomial"
0.9868303113345789,94.7777045793823,"Beta-Binomial rho = 0.01"
0.9877949310648391,76.18269546093599,"Beta-Binomial rho = 0.05"
0.9881045990962919,58.25974559402235,"Beta-Binomial rho = 0.1"
0.9992305403016601,105.5686147251666,"Binomial"
0.9984238061391809,99.0087746685502,"Beta-Binomial rho = 0.01"
0.9893429646868432,82.39508394193999,"Beta-Binomial rho = 0.05"
0.9900982969947293,65.9107015418096,"Beta-Binomial rho = 0.1"
0.9810098400499718,85.94225713359324,"Binomial"
0.9959302802960499,87.4501437888299,"Beta-Binomial rho = 0.01"
0.9941751458251893,78.61380077018984,"Beta-Binomial rho = 0.05"
0.9852612946511092,85.89747515852697,"Beta-Binomial rho = 0.1"
0.994779298011443,41.46991014417318,"Binomial"
0.9964946079206153,48.54370163453371,"Beta-Binomial rho = 0.01"
0.9905797873357912,53.67591464522194,"Beta-Binomial rho = 0.05"
0.9824750649382746,49.75782478900297,"Beta-Binomial rho = 0.1"
0.9992074980415985,83.89903944273759,"Binomial"
0.9950980043450385,74.1788180180381,"Beta-Binomial rho = 0.01"
0.9940037824936451,62.89814019186677,"Beta-Binomial rho = 0.05"
0.9867863155766498,52.72004798867525,"Beta-Binomial rho = 0.1"
0.969709083182405,79.37946098206469,"Binomial"
0.9766167270557181,68.91836685791765,"Beta-Binomial rho = 0.01"
0.9928549630746197,47.58191481425269,"Beta-Binomial rho = 0.05"
0.9849299574692117,41.45679081747356,"Beta-Binomial rho = 0.1"
0.9866930143229651,117.14837500252663,"Binomial"
0.9922122877007322,103.19951569026895,"Beta-Binomial rho = 0.01"
0.9856249088167867,78.33851900774702,"Beta-Binomial rho = 0.05"
0.9859394285092823,62.246221121253534,"Beta-Binomial rho = 0.1"
0.9987076855048422,94.83717779090965,"Binomial"
0.9993740506249297,88.77569570489338,"Beta-Binomial rho = 0.01"
0.9984148018355089,72.2914511604263,"Beta-Binomial rho = 0.05"
0.993723978696854,62.965926709614656,"Beta-Binomial rho = 0.1"
0.9974806591584754,85.0295372087013,"Binomial"
